company,ats,scrapped_link
Foameo,unknown,https://aomi.dev/
Gator Labs,unknown,https://x.com/careers
Gen Labs (stealth),unknown,https://genlabs.xyz/careers
Glider.fi,unknown,glider.fi
Hexens,unknown,hexens.io
Hypernative,unknown,https://hypernative.io/careers
Multiliquid / Uniform Labs,unknown,https://www.uniformlabs.co/
Nuffle Labs,unknown,https://nuff.tech/
Nuveaux Trading,unknown,nan
Ormi,unknown,https://ormilabs.com/careers
Ostium Labs,unknown,https://www.ostium.com/
Pond,unknown,https://cryptopond.xyz/careers
Radius,unknown,https://www.theradius.xyz/
Rarible,unknown,https://rarible.com/careers
Sheilded Labs,unknown,https://shieldedlabs.net/jobs
Stader Labs,unknown,staderlabs.com
Temporal,unknown,https://www.temporal.xyz/
Theseus Chain,unknown,theseuschain.com
Unravel,unknown,https://unravelapp.com/
Aevo,unknown,https://www.aevo.xyz/
Biconomy,unknown,https://biconomy.io/careers
Compound,unknown,https://compound.finance/careers
